Date,Open,High,Low,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,EMA120
3/28/06,371.71,377.86,371.17,377.2,8945800,377.2,358.96,350.597,354.0275,390.661,386.2235833
3/27/06,367.09,371.71,365,369.69,7023700,369.69,351.504,347.993,353.2985,391.3768333,385.6719167
3/24/06,368.62,370.09,362.51,365.8,15180600,365.8,347.204,344.73,354.333,392.3268333,385.2468333
3/23/06,342.35,345.75,340.2,341.89,7434700,341.89,342.002,341.9,354.913,393.3075,384.8356667
3/22/06,339.75,344.1,337.5,340.22,7596000,340.22,341.378,342.011,356.722,394.7915,384.56675
3/21/06,350.01,351.66,339.08,339.92,9831100,339.92,342.234,343.377,357.9855,396.3218333,384.2815833
3/20/06,342.34,350.09,341.54,348.19,10407600,348.19,344.482,345.83,359.319,397.762,384.0650833
3/17/06,338.8,341.78,334.93,339.79,8551700,339.79,342.256,347.821,360.347,399.1211667,383.7825
3/16/06,348.61,348.75,337.9,338.77,10016700,338.77,341.798,351.66,361.6805,400.5346667,383.5789167
3/15/06,350.77,352.3,340.53,344.5,12768800,344.5,342.644,355.428,361.861,402.0576667,383.3505833
3/14/06,337.14,352.37,332.62,351.16,18450700,351.16,344.52,357.458,361.802,403.3585,383.0789167
3/13/06,340.93,346.1,335.45,337.06,13642400,337.06,347.178,358.604,361.529,404.4885,382.7185
3/10/06,343.5,344.5,331.55,337.5,19325600,337.5,353.386,363.936,362.8065,405.829,382.44125
3/9/06,355.39,358.53,341.5,343,13910400,343,361.522,367.926,363.87,407.0808333,382.1304167
3/8/06,353.93,360.03,350.54,353.88,11745600,353.88,368.212,371.433,365.174,408.1841667,381.7939167
3/7/06,365.02,368.45,358.15,364.45,10378800,364.45,370.396,372.594,365.876,409.1303333,381.3699167
3/6/06,380.91,383.4,367.14,368.1,8939700,368.1,370.03,372.808,366.9085,409.7931667,380.9301667
3/3/06,384.3,387.24,375.76,378.18,11962000,378.18,374.486,372.873,367.581,410.4005,380.4438333
3/2/06,364.28,381.1,362.2,376.45,18330300,376.45,374.33,371.701,368.474,410.8616667,379.78475
3/1/06,368.56,369.45,361.3,364.8,12061200,364.8,374.654,368.294,369.7405,411.5491667,379.10925
2/28/06,393.2,397.54,338.51,362.62,39437600,362.62,374.792,366.146,373.1335,412.3706667,378.5265
2/27/06,381.27,391.7,380.28,390.38,10212200,390.38,375.586,364.454,376.3435,413.0755,377.89725
2/24/06,377.3,380.07,373.49,377.4,6484300,377.4,371.26,361.677,378.499,413.2948333,377.0478333
2/23/06,365.61,381.24,365.39,378.07,12551600,378.07,369.072,359.814,381.3425,414.0628333,376.28825
2/22/06,367.15,368.95,363.86,365.49,6476200,365.49,361.934,358.915,384.089,414.9053333,375.521
2/21/06,366.44,373.54,365.11,366.59,8686000,366.59,357.5,359.158,387.966,415.8615,374.8691667
2/17/06,369.86,372.14,363.62,368.75,14320200,368.75,353.322,361.009,391.0115,416.6928333,374.218
2/16/06,345.67,367,344.49,366.46,21315500,366.46,352.094,362.289,392.547,417.3696667,373.50825
2/15/06,341.27,346,337.83,342.38,12947000,342.38,350.556,365.247,396.0465,417.9321667,372.8093333
2/14/06,345.33,351.69,342.4,343.32,14654000,343.32,355.896,371.187,401.173,418.95,372.3109167
2/13/06,346.64,350.6,341.89,345.7,19717800,345.7,360.816,380.121,407.3625,419.8638333,371.77975
2/10/06,361.95,364.5,353.14,362.61,15223500,362.61,368.696,388.233,413.39,420.6488333,371.1823333
2/9/06,371.2,374.4,356.11,358.77,11912400,358.77,372.484,395.321,418.441,421.2215,370.4939167
2/8/06,368.48,370.69,354.67,369.08,20804100,369.08,379.938,402.871,424.084,421.7486667,369.8374167
2/7/06,382.99,383.7,363.35,367.92,16630200,367.92,386.478,409.263,429.118,422.1156667,369.1375833
2/6/06,385.31,389.9,379.56,385.1,8940400,385.1,399.426,416.774,434.067,422.3028333,368.452
2/3/06,393.62,393.9,372.57,381.55,18281800,381.55,407.77,421.014,438.095,422.3828333,367.6095
2/2/06,403.82,406.5,395.98,396.04,11807700,396.04,418.158,422.805,441.5795,422.6075,366.84425
2/1/06,389.03,402,387.52,401.78,27122500,401.78,425.804,426.846,444.0395,422.514,365.911
1/31/06,430.57,439.6,423.97,432.66,22066000,432.66,432.048,431.159,445.712,422.2501667,364.9435
1/30/06,429.23,433.28,425,426.82,8588900,426.82,434.122,434.604,444.822,421.3671667,363.76775
1/27/06,435,438.22,428.98,433.49,8452200,433.49,434.258,438.547,444.4885,420.5765,362.638
1/26/06,439.54,439.99,423.56,434.27,12926100,434.27,427.452,441.561,444.1485,419.554,361.4618333
1/25/06,451.26,454.23,429.22,433,18739800,433,427.888,445.297,443.667,418.2856667,360.324
1/24/06,436.03,444.95,434.48,443.03,15464600,443.03,430.27,448.973,443.5635,416.9533333,359.1931667
1/23/06,407.38,428.39,405.73,427.5,22741400,427.5,435.086,451.36,443.014,415.4935,357.9945
