Date,Open,High,Low,Close,Volume,Adj Close
20080215,528.31,532.66,524.33,529.64,5240100,529.64
20080214,538.35,541.04,531,532.25,6476700,532.25
20080213,522.5,534.99,518.69,534.62,6624700,534.62
20080212,523.39,530.6,513.03,518.09,6662300,518.09
20080211,520.52,523.71,513.4,521.16,5826000,521.16
20080208,509.41,517.73,508.7,516.69,6828900,516.69
20080207,496.86,514.19,494.76,504.95,7928900,504.95
20080206,511.14,511.17,497.93,501.71,7636400,501.71
20080205,489.43,509,488.52,506.8,11203300,506.8
20080204,509.07,512.78,492.55,495.43,13157100,495.43
20080201,528.67,536.67,510,515.9,17600500,515.9
20080131,539.01,573,534.29,564.3,14871300,564.3
20080130,549.19,560.43,543.51,548.27,7939600,548.27
20080129,560.47,561.33,540.67,550.52,6283000,550.52
20080128,570.97,572.24,548.6,555.98,5816700,555.98
20080125,591.81,595,566.18,566.4,6966000,566.4
20080124,558.8,579.69,554.14,574.49,9400900,574.49
20080123,560.71,568,519,548.62,16965700,548.62
20080122,562.03,597.5,561.2,584.35,9501500,584.35
20080118,608.36,609.99,598.45,600.25,8539600,600.25
20080117,620.76,625.74,598.01,600.79,8216800,600.79
20080116,628.97,639.99,601.93,615.95,10560000,615.95
20080115,645.9,649.05,635.38,637.65,5568200,637.65
20080114,651.14,657.4,645.25,653.82,4447500,653.82
20080111,642.7,649.47,630.11,638.25,4977000,638.25
20080110,645.01,657.2,640.11,646.73,6334200,646.73
20080109,630.04,653.34,622.51,653.2,6739700,653.2
20080108,653,659.96,631,631.68,5339100,631.68
20080107,653.94,662.28,637.35,649.25,6403400,649.25
20080104,679.69,680.96,655,657,5359800,657
20080103,685.26,686.85,676.52,685.33,3252500,685.33
20080102,692.87,697.37,677.73,685.19,4306900,685.19
20071231,698.57,702.49,690.58,691.48,2376200,691.48
20071228,704.93,707.95,696.54,702.53,2562700,702.53
20071227,707.07,716,700.74,700.74,2942500,700.74
20071226,698.99,713.22,698.21,710.84,2530000,710.84
20071224,694.99,700.73,693.06,700.73,1628400,700.73
20071221,697.88,699.26,693.24,696.69,5382000,696.69
20071220,685.83,691,680.61,689.69,4422200,689.69
20071219,674.21,679.5,669,677.37,4421100,677.37
20071218,674.16,676.71,652.5,673.35,7166700,673.35
20071217,688,695.42,663.67,669.23,5486000,669.23
20071214,687.51,699.7,687.26,689.96,3673500,689.96
20071213,696.31,697.62,681.21,694.05,5040800,694.05
20071212,714,714.32,688.5,699.35,6159100,699.35
20071211,719.94,720.99,698.78,699.2,6139100,699.2
20071210,715.99,724.8,714,718.42,3856200,718.42
20071207,714.99,718,710.5,714.87,3852100,714.87
20071206,697.8,716.56,697.01,715.26,4909000,715.26
20071205,692.73,698.93,687.5,698.51,4209600,698.51
20071204,678.31,692,677.12,684.16,4231800,684.16
20071203,691.01,695,681.14,681.53,4325100,681.53
20071130,711,711.06,682.11,693,7895500,693
20071129,690.75,702.79,687.77,697,6208000,697
20071128,682.11,694.3,672.14,692.26,7916500,692.26
20071127,674.8,676.43,650.26,673.57,8904500,673.57
20071126,680.2,693.4,665,666,6790100,666
20071123,670,678.28,668.11,676.7,2738700,676.7
20071121,643.77,669.97,642.08,660.52,7013500,660.52
20071120,636.48,659.1,632.87,648.54,9840600,648.54
20071119,629.59,636.77,618.5,625.85,5527400,625.85
20071116,633.94,635.49,616.02,633.63,9042800,633.63
20071115,638.57,647.5,624,629.65,6967700,629.65
20071114,673.28,675.49,636.27,641.68,8094700,641.68
20071113,644.99,660.92,632.07,660.55,8426100,660.55
20071112,657.74,669.93,626.21,632.07,10227300,632.07
20071109,675.78,681.88,661.21,663.97,11388100,663.97
20071108,734.6,734.89,677.18,693.84,16512200,693.84
20071107,741.13,747.24,723.14,732.94,8252900,732.94
20071106,737.56,741.79,725,741.79,8436300,741.79
20071105,706.99,730.23,706.07,725.65,8883700,725.65
20071102,710.51,713.58,697.34,711.25,5841500,711.25
20071101,702.79,713.72,701.78,703.21,6527200,703.21
20071031,700.69,707,696.04,707,6876800,707
20071030,677.51,699.91,677.51,694.77,6900600,694.77
20071029,677.77,680,672.09,679.23,3066300,679.23
20071026,674.03,676.54,668.06,674.6,3353900,674.6
20071025,678.68,678.97,663.55,668.51,5795500,668.51
20071024,672.71,677.47,659.56,675.82,7404200,675.82
20071023,661.25,677.6,660,675.77,6793700,675.77
20071022,638.67,655,636.28,650.75,6664400,650.75
20071019,654.56,658.49,643.23,644.71,15789000,644.71
20071018,635.41,641.37,628.5,639.62,12289200,639.62
20071017,630.45,634,621.59,633.48,6030500,633.48
20071016,618.49,625.92,611.99,616,6025300,616
20071015,638.47,639.86,615.55,620.11,6943800,620.11
20071012,623.98,638.4,618.24,637.39,6823700,637.39
20071011,633.64,641.41,609,622,11799000,622
20071010,621.36,625.68,616.8,625.39,5385600,625.39
20071009,615.11,623.78,608.39,615.18,8767800,615.18
20071008,595,610.26,593.95,609.62,5028000,609.62
20071005,587.11,596,587.01,594.05,5068700,594.05
20071004,585.09,585.09,577.06,579.03,2986700,579.03
20071003,586.25,588.99,580.36,584.02,3879500,584.02
20071002,583.38,596.81,580.01,584.39,7067500,584.39
20071001,569.97,584.35,569.61,582.55,4711300,582.55
20070928,567,569.55,564.12,567.27,2639500,567.27
20070927,571.73,571.74,565.78,567.5,2056300,567.5
20070926,570.4,571.79,563.81,568.16,3346100,568.16
20070925,564,569.56,562.86,569,2730600,569
20070924,561,571.46,560,568.02,5297000,568.02
20070921,556.34,560.79,552.83,560.1,8011700,560.1
20070920,547,556.8,546.03,552.83,5525000,552.83
20070919,539.27,549.45,538.86,546.85,5526900,546.85
20070918,526.52,537.25,524.27,535.27,4215700,535.27
20070917,526.53,529.28,524.07,525.3,2197500,525.3
20070914,523.2,530.27,522.22,528.75,2764900,528.75
20070913,524.06,527.21,523.22,524.78,1891100,524.78
20070912,520.53,527.98,519,522.65,2986000,522.65
20070911,516.99,521.65,515.73,521.33,2703600,521.33
20070910,521.28,522.07,510.88,514.48,3225800,514.48
20070907,517.86,521.24,516.8,519.35,3663600,519.35
20070906,529.36,529.83,518.24,523.52,3625900,523.52
20070905,523.4,529.48,522.25,527.8,3312900,527.8
20070904,515.02,528,514.62,525.15,3693700,525.15
20070831,513.1,516.5,511.47,515.25,2977600,515.25
20070830,512.36,515.4,510.58,511.4,2651700,511.4
20070829,507.84,513.3,507.23,512.88,2549300,512.88
20070828,511.53,514.98,505.79,506.4,3273900,506.4
20070827,514.43,517.45,511.4,513.26,2325100,513.26
20070824,512.61,515.55,508.5,515,2472700,515
20070823,516,516.13,507,512.19,3076700,512.19
20070822,509.96,516.25,509.25,512.75,3252700,512.75
20070821,498.94,508.16,497.77,506.61,3610600,506.61
20070820,502.46,502.56,496,497.92,2697300,497.92
20070817,497.44,501,491.65,500.04,5479400,500.04
20070816,492.02,496.43,480.46,491.52,8645600,491.52
20070815,509,511.69,496.71,497.55,5409500,497.55
20070814,515.72,517.4,508,508.6,3633700,508.6
20070813,519.54,519.75,513.03,515.5,3179300,515.5
20070810,510.18,518.72,505.63,515.75,5875200,515.75
20070809,520.8,526.82,514.63,514.73,4846500,514.73
20070808,519.34,525.78,517.09,525.78,4068800,525.78
20070807,509.75,519.88,509.04,516.02,4264300,516.02
20070806,503,510.15,502.5,510,3651500,510
20070803,510.05,513.2,503,503,3176200,503
20070802,513.72,514.99,509,511.01,3154900,511.01
20070801,510.5,516.51,508.14,512.94,4421500,512.94
20070731,520.23,520.44,510,510,4270500,510
20070730,512.92,519.34,510.5,516.11,3963300,516.11
20070727,508.53,516.62,505.5,511.89,5509100,511.89
20070726,508.74,512.59,498.88,508,6883400,508
20070725,516.98,517.02,505.56,509.76,5545000,509.76
20070724,509.3,518.69,507.11,514,5572100,514
20070723,519.01,520,512.15,512.51,6356700,512.51
20070720,511.9,523.18,509.5,520.12,17772300,520.12
20070719,553.46,553.52,542.24,548.59,11127200,548.59
20070718,553.89,554.5,543.81,549.5,6080000,549.5
20070717,555.04,557.73,552.38,555,4328600,555
20070716,550.3,558.58,549.31,552.99,6599500,552.99
20070713,547.91,552.67,547.25,552.16,5237100,552.16
20070712,545.86,547.32,540.22,545.33,3441600,545.33
20070711,543.61,546.5,540.01,544.47,3309300,544.47
20070710,543.79,547,541.65,543.34,3856000,543.34
20070709,543,548.74,540.26,542.56,3729800,542.56
20070706,541.25,543.87,538.73,539.4,2747000,539.4
20070705,535.56,544.4,532.15,541.63,4942900,541.63
20070703,531.06,534.4,527.5,534.34,1871800,534.34
20070702,525.49,531.85,524.2,530.38,3487600,530.38
20070629,526.02,527.4,519.46,522.7,3880600,522.7
20070628,524.88,529.5,523.8,525.01,4168400,525.01
20070627,525,527.99,519.56,526.29,6123100,526.29
20070626,532.73,533.2,526.24,530.26,5689500,530.26
20070625,528.98,534.99,523.38,527.42,7925000,527.42
20070622,516.42,524.99,516.1,524.98,7203700,524.98
20070621,510.98,515.29,506.28,514.11,4409700,514.11
20070620,516.96,518.75,509.06,509.97,4338200,509.97
20070619,514.01,517.25,511.54,514.31,4355300,514.31
20070618,506.18,516,504.24,515.2,4835900,515.2
20070615,508.19,509,501.23,505.89,6174100,505.89
20070614,505.38,505.88,501.7,502.84,4621200,502.84
20070613,507.09,508.54,498.69,505.24,7034000,505.24
20070612,508.71,511.67,503.17,504.77,6419500,504.77
20070611,514.02,518.25,510,511.34,4647700,511.34
20070608,516.2,519.64,509.46,515.49,6358200,515.49
20070607,519.75,526.5,512.51,515.06,10630500,515.06
20070606,516.75,520.78,515.26,518.25,7886700,518.25
20070605,509.75,519,506.61,518.84,10447100,518.84
20070604,497.91,510.51,497.59,507.07,7101000,507.07
20070601,501,505.02,497.93,500.4,4799000,500.4
20070531,500.56,508.78,497.06,497.91,8924300,497.91
20070530,484.5,498.84,483,498.6,7245800,498.6
20070529,485,491.8,484,487.11,5218000,487.11
20070525,479.7,484.95,477.27,483.52,5348500,483.52
20070524,475.15,479.2,471.5,474.33,4173600,474.33
20070523,480.82,483.41,473.75,473.97,5060200,473.97
20070522,473,479.01,473,475.86,3839000,475.86
20070521,469.53,479.2,466.72,470.6,6159300,470.6
20070518,472.03,472.7,469.75,470.32,3695900,470.32
20070517,472.46,475.22,470.81,470.96,4660600,470.96
20070516,462,473.14,459.02,472.61,6554200,472.61
20070515,461.96,462.54,457.41,458,4119000,458
20070514,465.48,467.51,460,461.78,3872700,461.78
20070511,461.83,467,461,466.74,2944100,466.74
20070510,467.04,469.49,461.02,461.47,3686300,461.47
20070509,466.15,471.73,463.88,469.25,3889900,469.25
20070508,466.13,468.17,464.73,466.81,2905100,466.81
20070507,472.14,472.82,466.47,467.27,3020100,467.27
20070504,470.12,474.84,465.88,471.12,3950000,471.12
20070503,466.22,474.07,465.29,473.23,3594200,473.23
20070502,468.65,471.08,465.73,465.78,3062700,465.78
20070501,472.19,472.81,464.17,469,3658200,469
20070430,479.15,481.35,471.38,471.38,3641200,471.38
20070427,480.07,482.4,478.33,479.01,2925700,479.01
20070426,478.1,484.45,477.11,481.18,4124900,481.18
20070425,480,481.37,476.11,477.99,3966800,477.99
20070424,478.61,479.98,475.55,477.53,3694700,477.53
20070423,480.1,485,478.26,479.08,5674600,479.08
20070420,490.52,492.5,482.02,482.48,12161500,482.48
20070419,474.5,481.95,469.59,471.65,11009600,471.65
20070418,471.26,479.9,469.53,476.01,5670500,476.01
20070417,473.8,476.39,471.6,472.8,3210100,472.8
20070416,468.46,476.99,468.15,474.27,5077900,474.27
20070413,468.45,468.77,463.36,466.29,2794800,466.29
